Time	Walks
07 Sun 00:00:00	0
07 Sun 01:00:00	237
07 Sun 02:00:00	304
07 Sun 03:00:00	138
07 Sun 04:00:00	59
07 Sun 05:00:00	42
07 Sun 06:00:00	76
07 Sun 07:00:00	21
07 Sun 08:00:00	24
07 Sun 09:00:00	26
07 Sun 10:00:00	10
07 Sun 11:00:00	10
07 Sun 12:00:00	83
07 Sun 13:00:00	89
07 Sun 14:00:00	71
07 Sun 15:00:00	43
07 Sun 16:00:00	26
07 Sun 17:00:00	6
07 Sun 18:00:00	8
07 Sun 19:00:00	3
07 Sun 20:00:00	2
07 Sun 21:00:00	9
07 Sun 22:00:00	9
07 Sun 23:00:00	5
08 Mon 00:00:00	6
08 Mon 01:00:00	10
08 Mon 02:00:00	13
08 Mon 03:00:00	59
08 Mon 04:00:00	0
08 Mon 05:00:00	0
08 Mon 06:00:00	0
08 Mon 07:00:00	0
08 Mon 08:00:00	0
08 Mon 09:00:00	0
08 Mon 10:00:00	0
08 Mon 11:00:00	0
08 Mon 12:00:00	0
08 Mon 13:00:00	0
08 Mon 14:00:00	0
08 Mon 15:00:00	0
08 Mon 16:00:00	0
08 Mon 17:00:00	0
08 Mon 18:00:00	0
08 Mon 19:00:00	0
08 Mon 20:00:00	0
08 Mon 21:00:00	0
08 Mon 22:00:00	0
08 Mon 23:00:00	0
09 Tue 00:00:00	0
09 Tue 01:00:00	0
09 Tue 02:00:00	0
09 Tue 03:00:00	0
09 Tue 04:00:00	0
09 Tue 05:00:00	0
09 Tue 06:00:00	0
09 Tue 07:00:00	0
09 Tue 08:00:00	0
09 Tue 09:00:00	0
09 Tue 10:00:00	0
09 Tue 11:00:00	0
09 Tue 12:00:00	0
09 Tue 13:00:00	0
09 Tue 14:00:00	0
09 Tue 15:00:00	0
09 Tue 16:00:00	0
09 Tue 17:00:00	0
09 Tue 18:00:00	0
09 Tue 19:00:00	0
09 Tue 20:00:00	0
09 Tue 21:00:00	0
09 Tue 22:00:00	0
09 Tue 23:00:00	0
10 Wed 00:00:00	0
10 Wed 01:00:00	0
10 Wed 02:00:00	0
10 Wed 03:00:00	0
10 Wed 04:00:00	0
10 Wed 05:00:00	0
10 Wed 06:00:00	0
10 Wed 07:00:00	0
10 Wed 08:00:00	0
10 Wed 09:00:00	0
10 Wed 10:00:00	0
10 Wed 11:00:00	5
10 Wed 12:00:00	12
10 Wed 13:00:00	24
10 Wed 14:00:00	70
10 Wed 15:00:00	31
10 Wed 16:00:00	13
10 Wed 17:00:00	27
10 Wed 18:00:00	32
10 Wed 19:00:00	44
10 Wed 20:00:00	31
10 Wed 21:00:00	27
10 Wed 22:00:00	13
10 Wed 23:00:00	23
11 Thu 00:00:00	0
11 Thu 01:00:00	0
11 Thu 02:00:00	0
11 Thu 03:00:00	0
11 Thu 04:00:00	0
11 Thu 05:00:00	0
11 Thu 06:00:00	0
11 Thu 07:00:00	0
11 Thu 08:00:00	0
11 Thu 09:00:00	30
11 Thu 10:00:00	37
11 Thu 11:00:00	34
11 Thu 12:00:00	21
11 Thu 13:00:00	29
11 Thu 14:00:00	32
11 Thu 15:00:00	0
11 Thu 16:00:00	0
11 Thu 17:00:00	0
11 Thu 18:00:00	0
11 Thu 19:00:00	0
11 Thu 20:00:00	0
11 Thu 21:00:00	0
11 Thu 22:00:00	0
11 Thu 23:00:00	0
12 Fri 00:00:00	0
12 Fri 01:00:00	0
12 Fri 02:00:00	0
12 Fri 03:00:00	0
12 Fri 04:00:00	0
12 Fri 05:00:00	0
12 Fri 06:00:00	0
12 Fri 07:00:00	0
12 Fri 08:00:00	0
12 Fri 09:00:00	0
12 Fri 10:00:00	0
12 Fri 11:00:00	0
12 Fri 12:00:00	0
12 Fri 13:00:00	0
12 Fri 14:00:00	3
12 Fri 15:00:00	4
12 Fri 16:00:00	0
12 Fri 17:00:00	0
12 Fri 18:00:00	0
12 Fri 19:00:00	49
12 Fri 20:00:00	45
12 Fri 21:00:00	54
12 Fri 22:00:00	59
12 Fri 23:00:00	90
13 Sat 00:00:00	1
13 Sat 01:00:00	0
13 Sat 02:00:00	0
13 Sat 03:00:00	0
13 Sat 04:00:00	19
13 Sat 05:00:00	1
13 Sat 06:00:00	2
13 Sat 07:00:00	4
13 Sat 08:00:00	11
13 Sat 09:00:00	43
13 Sat 10:00:00	42
13 Sat 11:00:00	0
13 Sat 12:00:00	3
13 Sat 13:00:00	34
13 Sat 14:00:00	64
13 Sat 15:00:00	32
13 Sat 16:00:00	76
13 Sat 17:00:00	0
13 Sat 18:00:00	0
13 Sat 19:00:00	21
13 Sat 20:00:00	20
13 Sat 21:00:00	0
13 Sat 22:00:00	0
13 Sat 23:00:00	0
14 Sun 00:00:00	0
14 Sun 01:00:00	0
14 Sun 02:00:00	0
14 Sun 03:00:00	0
14 Sun 04:00:00	0
14 Sun 05:00:00	0
14 Sun 06:00:00	0
14 Sun 07:00:00	0
14 Sun 08:00:00	0
14 Sun 09:00:00	0
14 Sun 10:00:00	0
14 Sun 11:00:00	0
14 Sun 12:00:00	0
14 Sun 13:00:00	0
14 Sun 14:00:00	0
14 Sun 15:00:00	0
14 Sun 16:00:00	0
14 Sun 17:00:00	0
14 Sun 18:00:00	0
14 Sun 19:00:00	0
14 Sun 20:00:00	0
14 Sun 21:00:00	0
14 Sun 22:00:00	0
14 Sun 23:00:00	0
